CODIGO;CATEGORIA;DESCRICAO;DIMENSAO;UNIDADE;MATERIAL;TIPO
RU1540;RU_ESGOTO_REFOCADO;LUVA SIMPLES PVC SERIE REFOCADA 150MM;1;PC;PVC;-
RU1541;RU_ESGOTO_REFOCADO;TE PVC SERIE REFOCADA 40MM;1;PC;PVC;-
RU1542;RU_ESGOTO_REFOCADO;TE PVC SERIE REFOCADA 50MM;1;PC;PVC;-
RU1543;RU_ESGOTO_REFOCADO;TE PVC SERIE REFOCADA 75X50MM;1;PC;PVC;-
RU1544;RU_ESGOTO_REFOCADO;TE PVC SERIE REFOCADA 75MM;1;PC;PVC;-
RU1545;RU_ESGOTO_REFOCADO;TE PVC SERIE REFOCADA 100MM;1;PC;PVC;-
RU1546;RU_ESGOTO_REFOCADO;TE PVC SERIE REFOCADA 100X50MM;1;PC;PVC;-
RU1547;RU_ESGOTO_REFOCADO;TE PVC SERIE REFOCADA 100X75MM;1;PC;PVC;-
RU1548;RU_ESGOTO_REFOCADO;TE PVC SERIE REFOCADA 150X100MM;1;PC;PVC;-
RU1549;RU_ESGOTO_REFOCADO;TE PVC SERIE REFOCADA 150MM;1;PC;PVC;-
RU1550;RU_ESGOTO_REFOCADO;JOELHO 45 EM FERRO FUNDIDO 50MM;1;PC;PVC;-
RU1551;RU_ESGOTO_REFOCADO;JOELHO 45 EM FERRO FUNDIDO 75MM;1;PC;PVC;-
RU1552;RU_ESGOTO_REFOCADO;JOELHO 45 EM FERRO FUNDIDO 100MM;1;PC;PVC;-
RU1553;RU_ESGOTO_REFOCADO;JOELHO 45 EM FERRO FUNDIDO 150MM;1;PC;PVC;-
RU1554;RU_ESGOTO;CAIXA SIFONADA 100X100X50MM;1;PC;PVC;-
RU1555;RU_ESGOTO;CAIXA SIFONADA 100X150X50MM;1;PC;PVC;-
RU1556;RU_ESGOTO;CAIXA SIFONADA 150X150X50MM;1;PC;PVC;-
RU1557;RU_ESGOTO;CAIXA SIFONADA 150X185X75MM;1;PC;PVC;-
RU1558;RU_ESGOTO;RALO LINEAR 50CM ;1;MT;PVC;TUBO
RU1559;RU_ESGOTO;RALO LINEAR 70CM ;1;MT;PVC;TUBO
RU1560;RU_ESGOTO;REDUCAO EXCENTRICA PVC SERIE NORMAL 75X40MM;1;PC;PVC;-
RU1561;RU_ESGOTO;REDUCAO EXCENTRICA PVC SERIE NORMAL 75X50MM;1;PC;PVC;-
RU1562;RU_ESGOTO;REDUCAO EXCENTRICA PVC SERIE NORMAL 100X75MM;1;PC;PVC;-
RU1563;RU_ESGOTO;REDUCAO EXCENTRICA PVC SERIE NORMAL 150X100MM;1;PC;PVC;-
RU1564;RU_ESGOTO_REFOCADO;REDUCAO EXCENTRICA PVC SERIE REFOCADA 75X40MM;1;PC;PVC;-
RU1565;RU_ESGOTO_REFOCADO;REDUCAO EXCENTRICA PVC SERIE REFOCADA 75X50MM;1;PC;PVC;-
RU1566;RU_ESGOTO_REFOCADO;REDUCAO EXCENTRICA PVC SERIE REFOCADA 100X75MM;1;PC;PVC;-
RU1567;RU_ESGOTO_REFOCADO;REDUCAO EXCENTRICA PVC SERIE REFOCADA 150X100MM;1;PC;PVC;-
RU1568;RU_DRENO;TUBO CORRUGADO PERFURADO 65MM - DRENO;1;MT;PEAD;TUBO
RU1569;RU_DRENO;TUBO CORRUGADO PERFURADO 80MM - DRENO;1;MT;PEAD;TUBO
RU1570;RU_DRENO;TUBO CORRUGADO PERFURADO 100MM - DRENO;1;MT;PEAD;TUBO
