DATE,QUANTITY,NAME,CODECONTENT,CODETYPE
2025-06-05 15:06:28 -0300,1,"","https://www.nfce.fazenda.sp.gov.br/NFCeConsultaPublica/Paginas/ConsultaQRCode.aspx?p=35250551594200000150650010001672021001752375|2|1|1|AB47E47B662D789C49C70ADE4209B1E01B00B99D",15
2025-06-05 15:06:23 -0300,1,"","35250551517078000119590013750912047579682969|20250507110822|21.97||uOrK0SoVkxYYaJHUDrqQmLfuk0xyNa6pfaN3f7rvIvJPhnH9YzM+67FTYJnaejOp9trg/UEkLv38Dzb/LWiZaftpNdotR+XKWNKinDOT4XdaxiwwNN5DrbpzTfyZedDfpr6xvetWoh8LpnfBete/ujmfqAmD8+Ky6z+9mm36zW9KzWT/vZyLotlHb/vtHVfHmbOWucrmV4giuM3sHYnUMWkspSsNXYJ1L5hRRuS30EGQG58OClPQnHTmnkeFQgh5OmRw1DmuuleIyDKr2sE76z5nul/5klBFb+bwlY8cMfD2oqyw2Z7L53RXx1vFu+tT3M5o+aQbY6YmO+kjCjRNvw==",15
2025-06-05 15:06:18 -0300,1,"","CFe35250557508426002898590014467600336715905900|20250506164628|167.79||CKpVVCWU4HkHKfB/VEkepw/widIW+/ajBLdViFelm6+kLC6d3SPofULimUraevhlMys3JBJ6WZZSvTe5Z2jctpvqibhtKR2gDTlxeinoVyQaxWgI9RWi0mOzjDLCzbQxC8WBaKtcyOasnelhwSDIaOZ8N5opTW36yy/wI5eeUBuWGcu+j8n0cka/S6lIaoprPmxlYDk8DzzHOkLq/T4d/9g1lB8GgJYNZ1o6EhWIlTd04twFuw6iXL1PqKwviZOPgmCrEQuL3jv7c0MSWutVdAI3IAfNscDTGyrgqwdN+RH09Fzye94rx1WXAEfK1n62aatL9HoA1hIryjoJxMVXeA==",15
2025-06-05 15:06:13 -0300,1,"","35250522182081000120590009627712044340555799|20250509065636|19.40||JI885mx2AixfTVsoOoVYV8zSMyCcylyyph7fXRclKuBuFBFN5OLhS2eSwtHkNME/Eh0NaJiuqYqgeAkXGoRKHlXSyBjqLiA1/lENrHFmbPccYDgD+wNrfhQ+5y/+cYrIKaCVAfILSc//Qe3TAxHwcjPVrVhbfI07ueSr9uxmLgPm++uqVuGKb+0rPqIDzyJ9Wz7PjL/xrorwGXd/h1ExPT7eqwLbaBqflQzZnkvp5jDduXU2Kx1yWNaSaWBxrNu2nv87JNbaEkNXpO60lHNilEYN2GVIIferam4O6hFOm0LuPvdtz6KXsq9s/+sEYYQ0hy4wSzIQJrONNYGw248lPA==",15
2025-06-05 15:06:08 -0300,1,"","35250543979128000151590004623203357920909722|20250512153438|251.18||R3pepQmAifQ2lsWiHU1RtqPpdeWL6WX2RWxgiprHlA+w83da89mm6/pgekPovMG5RAFDOJI0YpFx/BG4l7LKJCISGBLE8HkjWmU6aefw/GV4OMFSYt4agJfF+bEspmRTsid7VKv96ukDViSTIKMARJogG8FCyxTIQLc51RwWlOHct2LZM6P208fmUqCgyQj+XetsuWfNbUwIZECokfQ5QayV/jqjlX8ETWw9qJqHNrT9neVNMHiFLfgKf2lVFHdBkAjrMB9iisNAjhnu0txngCRyyQP1COG4yZ1EfGmEbopu2M2aN91yaFzMNqcIztHXb+xLwmq6LZz1vnO7OtfYaA==",15
2025-06-05 15:06:00 -0300,1,"","35250500245454000637590011368935515724660622|20250503144944|29.98|08244181826|Rgx6uoo0q0DHloHwuD2WE0XfjXX0moEERxIWDOQz6D3x/DxiAXv7OCv9uxzDkqBIA3n/FbMedQ9xaTdgeb4jP5QfglVQZynRJ+wKcoxnDQGUCb/IVT3NpM2oX3gIdNl4yfE3SgbiccU6IFtcIrAKDzLPjTM9ihdtkxsk3anwQMYwoS6bzpeSBj1FO64J+dvmrGQd/L+f1OwrUzVpobAueDdv6VmF8Zin8IMuoiCgmX2R4BObFeHbnS0Zf3+8eUMuwSf38kwQy0rkbb7nAX3OJXalTBKdn7Mve7PSqvZ4Dj9sLaKRpBNNQGOyxf99F0h3B0QwtNWiClobadB+hZqDrg==",15
2025-06-05 15:05:53 -0300,1,"","35250520656031000102590013098691271724359858|20250512110710|100.00||FYpNPrBh1kZoMEn0wRHOlNoLCOc1SunHFG/rIQjSfNJFLRZGbPMcXudyQa1VEl/ZrRqfzU80DCFEtfJf+dOb4I8rfdm17BddefQuc+JQqZ2Zb8tX12iecU95JWu/F6TncB1dviTW8TMJuw0YLrNvW8ic+R5zTciCVhA+nairy9SPU8PUsavFT5H9cfZt/duYgxfS/24ax4ixseK4BdC5BtH1+S4qpeJnPIWVBZqr4bcLFhuEDC5HH+JvjSec+KSHN0A1d1T0nB9V9W0aY6JDQBan9UY15u9EcJsFyr2wwjjEpoKZpySI0rsjBKEiCSWOS4ofqkDx7Dyfyy1AdWRvDA==",15
2025-06-05 15:05:46 -0300,1,"","CFe35250593209765043789590011681891209789759480|20250506175749|847.77||Tt8hTSYYrBUFsZdqhGeOLh59hGhFaulCkLOkVscwM+MiMAYcHh+3C3hkIb6hN5jOEY2XtLQH8i2tMhJ8wsC4V7Y2MR3EW37G2kVIRk3DARfAHPe3zLiKelpBG0VogdUVgKc9hLmVHTLAiQo8TpD7wjOTpkex0DpD7ULAZnWdXxoVRPFkSm468Bk4gTYpKLQP4z2feVpwe081SVk7Sa94YpwF2quhQfjDGyz1f40muWAnzl9Bhb6HQ/gUA8e3Mg1a4gGUCqEZHLZAuvdOkKyEPfTt99JtOHkADsh8AjiH2PwZ/CT1oVpDY2URzuNrs1sVmTz4rNB5p4cNmWRyMk4SUg==",15
2025-06-05 15:05:39 -0300,1,"","|20250515171915|4.39|53485215000106|1gzoU9RBIHRQe0cYs3hXbjtwPSe1knH2lHWUBSCZ26dTXa0/0yASPtvVYlUgNn47k56b3Ci+2ir3Pc/f2l8iP5oSKi9v89th3ZLd0PjpX2hwLsdLPRXgGYrrDRivH+dEOotaLqjmbC7wmbsIh+ox0K/r7c9+INuPbaoiZx/xziX0i/OkHH6xOnXfcu0XbdzLAt0Z6uniWfIChbbPzIAQX6CXYPORLqg4DgQm4lfK38Ov7QS2kFtIOM0nUuKFJ1UEFSzBTq/GGQuZBFiJVI9PukdYF30r2vuJLyYoHjkeA40Pf7Q9GWoIHhIX87vZdxuYDuTYBamd7FnU/YxOXB2mHB==",15
2025-06-05 15:05:32 -0300,1,"","35250543979128000151590004623203317141535836|20250505170859|300.67||RmsBR4CPajOwjs9CkqTesapwDgEvzFhTTrGCecTv8C5+nP4P9cIEyfWvA7c34D7SKQp51ZQBzjEg4kM3UgW+pi3KVtb6IcDmcjv69IGrV2pjk/a7bkdubk+BcEPnsuPqciZofeEKvKLkXwilCprKbko84KsFI/kTdq3gUNAxeq+AzvIuEg6SkEyV++sRi5MfMDYrCD1RT+dp3y7xp/oA9QEjPNf/4R5rlTxqruJGBTv+ewzKRpUzprql8K+tZV9qwKV6NZ4WHmoUJJOpAOnTFsnqn49SVgOtyyF2szgH1GMt+HQ/MalnezBA61iM3SCfNuV/o9JCs3vSmiOLY7f2Tw==",15
2025-06-05 15:04:13 -0300,1,"","https://www.nfce.fazenda.sp.gov.br/qrcode?p=35250547508411292343651030000091091353785682|2|1|1|0DE92FB9579A08E9591E089DB968A004C2E91AC3",15
2025-06-05 15:03:21 -0300,1,"","35250500245454000637590012431964543323422059|20250503081841|28.96|08244181826|qU3fpAtjA+RnDxiqUp8j5XYOs5VIN5xQdcpnhvEZ8T+c0qX4PCPWPGD0mKgcTuNvT+XAvpqk4RPOG4NrUE7owAoTF9Fy8W/n+MYbSdW3lyKH4ZDVL5TIiuZXKZxiaGPKiCOkqOECKAIBi5nR76VQX1NOtKGwOz0fQ7pE36VkX14BujgZd6hfXys8vElbx/jrp+oWFo8Rrwoyax3x60BaCOpPQ1JLMBGyAvPxiB7Fqsb4SnJxIWzN1bCNou6VrzAX7a5JZ+dWPntqEdwIugEYCna9b9UvS7u2cannvudt5Rk5aCriMjkYNJ5R9MJ4dCs6gOZswSAti+pWimlBqkWFBA==",15
