;;APTO_AGUA_FRIA-QUENTE-GAS-PT1;;
RU1520;RU_ESGOTO_REFOCADO;JOELHO 45 PVC SERIE REFOCADA 100MM;PC;42
RU1521;RU_ESGOTO_REFOCADO;JOELHO 45 PVC SERIE REFOCADA 150MM;PC;66
RU1525;RU_ESGOTO_REFOCADO;JOELHO 90 PVC SERIE REFOCADA 100MM;PC;4
RU1554;RU_ESGOTO;CAIXA SIFONADA 100X100X50MM;PC;4
RU1555;RU_ESGOTO;CAIXA SIFONADA 100X150X50MM;PC;7
RU1557;RU_ESGOTO;CAIXA SIFONADA 150X185X75MM;PC;1
RU1561;RU_ESGOTO;REDUCAO EXCENTRICA PVC SERIE NORMAL 75X50MM;PC;8
RU1562;RU_ESGOTO;REDUCAO EXCENTRICA PVC SERIE NORMAL 100X75MM;PC;9
RU1569;RU_DRENO;TUBO CORRUGADO PERFURADO 80MM - DRENO;MT;31,16
RU1570;RU_DRENO;TUBO CORRUGADO PERFURADO 100MM - DRENO;MT;11,3
RU1585;RU_DRENO;TAMPAO DE TUBO CORRUGADO 100MM - DRENO;PC;3
RU1589;RU_DRENO;REDUCAO DE TUBO CURRUGADO 170X100X65MM;PC;12
RU1599;RU_DRENO;"CONEXAO ""Y"" DE TUBO CORRUGADO 100X100MM";PC;12
RU1605;RU_INFRA_ESGOTO;TUBO COLETO DE ESGOTO LISO JEI  200MM;MT;130,02
RU1606;RU_INFRA_ESGOTO;TUBO COLETO DE ESGOTO LISO JEI  250MM;MT;10,86
RU1607;RU_INFRA_ESGOTO;TUBO COLETO DE ESGOTO LISO JEI  300MM;MT;24,56
RU1623;RU_INFRA_ESGOTO;CURVA 45 COLETOR DE ESGOTO JE 300MM;PC;3
RU1652;RU_AR;CAIXA POLAR;PC;1
RU1653;RU_BOMBAS;KIT BOMBA SUBMERS�VEL 1,0/2,0 CV;VB;2
RU1654;RU_ESGOTO;VALVULA DE ADMISSAO DE AR 50MM;PC;4
RU1655;RU_ESGOTO;CAIXA SIFONADA 100X100X40MM;PC;2
RU1656;RU_ESGOTO;CAIXA DE GORDURA DE 18L;PC;1
RU1657;RU_BOMBAS;KIT BOMBA DE RECALLQUE DE �GUA POT�VEL 7,5CV P: 90 M.C.A;VB;1
;;SUBSOLO_TETO;;
RU1097;RU_SOLDAVEL;TUBO PVC SOLDAVEL 20MM;MT;1,58
RU1098;RU_SOLDAVEL;TUBO PVC SOLDAVEL 25MM;MT;339,95
RU1099;RU_SOLDAVEL;TUBO PVC SOLDAVEL 32MM;MT;101,96
RU1100;RU_SOLDAVEL;TUBO PVC SOLDAVEL 40MM;MT;87,19
RU1117;RU_SOLDAVEL;CURVA 45 PVC SOLDAVEL 25MM;PC;15
RU1122;RU_SOLDAVEL;CURVA 90 PVC SOLDAVEL 20MM;PC;3
RU1123;RU_SOLDAVEL;CURVA 90 PVC SOLDAVEL 25MM;PC;140
RU1124;RU_SOLDAVEL;CURVA 90 PVC SOLDAVEL 32MM;PC;42
RU1125;RU_SOLDAVEL;CURVA 90 PVC SOLDAVEL 40MM;PC;54
RU1132;RU_SOLDAVEL;JOELHO 45 PVC SOLDAVEL 50MM;PC;2
RU1143;RU_SOLDAVEL;TE REDUCAO PVC SOLDAVEL 32X25X32MM;PC;6
RU1144;RU_SOLDAVEL;TE REDUCAO PVC SOLDAVEL 40X25X40MM;PC;3
RU1145;RU_SOLDAVEL;TE REDUCAO PVC SOLDAVEL 40X32X40MM;PC;2
RU1151;RU_SOLDAVEL;TE PVC SOLDAVEL 25MM;PC;14
RU1152;RU_SOLDAVEL;TE PVC SOLDAVEL 32MM;PC;2
RU1153;RU_SOLDAVEL;TE PVC SOLDAVEL 40MM;PC;4
RU1160;RU_CPVC;TUBO CPVC 42MM;MT;5,55
RU1162;RU_CPVC;TUBO CPVC 73MM;MT;44,31
RU1190;RU_CPVC;JOELHO 90 CPVC 42MM;PC;3
RU1192;RU_CPVC;JOELHO 90 CPVC 73MM;PC;8
RU1251;RU_REGISTRO;"REGISTRO GAVETA BRUTO 20 (3/4"")";PC;21
RU1254;RU_REGISTRO;"REGISTRO GAVETA BRUTO 40 (1 1/2"")";PC;8
RU1276;RU_SISGAS;TUBO A�O POLIETILENO 110MM - SISGAS;MT;17,22
RU1358;RU_ACO_GALVANIZADO;TUBOS DE ACO GALVANIZADO 50MM;MT;67,35
RU1368;RU_ACO_GALVANIZADO;TE DE ACO GALVANIZADO 50MM;PC;3
RU1378;RU_ACO_GALVANIZADO;COTOVELO 90 DE ACO GALVANIZADO 50MM;PC;20
RU1393;RU_ESGOTO;TUBO PVC SERIE NORMAL 40MM;MT;14,93
RU1394;RU_ESGOTO;TUBO PVC SERIE NORMAL 50MM;MT;25,35
RU1395;RU_ESGOTO;TUBO PVC SERIE NORMAL 75MM;MT;11,82
RU1396;RU_ESGOTO;TUBO PVC SERIE NORMAL 100MM;MT;312,31
RU1397;RU_ESGOTO;TUBO PVC SERIE NORMAL 150MM;MT;129,2
RU1405;RU_ESGOTO;JOELHO 45 PVC SERIE NORMAL 50MM;PC;11
RU1406;RU_ESGOTO;JOELHO 45 PVC SERIE NORMAL 75MM;PC;8
RU1407;RU_ESGOTO;JOELHO 45 PVC SERIE NORMAL 100MM;PC;87
RU1408;RU_ESGOTO;JOELHO 90 PVC SERIE NORMAL 40MM;PC;18
RU1409;RU_ESGOTO;JOELHO 90 PVC SERIE NORMAL 50MM;PC;15
RU1411;RU_ESGOTO;JOELHO 90 PVC SERIE NORMAL 100MM;PC;35
RU1412;RU_ESGOTO;JOELHO 90 PVC SERIE NORMAL 150MM;PC;3
RU1418;RU_ESGOTO;JUNCAO SIMPLES PVC SERIE NORMAL 100X50;PC;6
RU1419;RU_ESGOTO;JUNCAO SIMPLES PVC SERIE NORMAL 100X75;PC;1
RU1420;RU_ESGOTO;JUNCAO SIMPLES PVC SERIE NORMAL 100X100;PC;1
RU1421;RU_ESGOTO;JUNCAO SIMPLES PVC SERIE NORMAL 150X100;PC;7
RU1431;RU_ESGOTO;TE PVC SERIE NORMAL 50X50;PC;3
RU1436;RU_ESGOTO;TE PVC SERIE NORMAL 100X100;PC;1
RU1437;RU_ESGOTO;TE PVC SERIE NORMAL 150X100;PC;4
RU1438;RU_ESGOTO;TE PVC SERIE NORMAL 150X150;PC;1
RU1508;RU_ESGOTO_REFOCADO;TUBO PVC SERIE REFOCADA 50MM;MT;30,72
RU1509;RU_ESGOTO_REFOCADO;TUBO PVC SERIE REFOCADA 75MM;MT;32,86
RU1510;RU_ESGOTO_REFOCADO;TUBO PVC SERIE REFOCADA 100MM;MT;595,89
RU1511;RU_ESGOTO_REFOCADO;TUBO PVC SERIE REFOCADA 150MM;MT;391,87
RU1516;RU_ESGOTO_REFOCADO;CAP PVC SERIE REFOCADA 150MM;PC;1
RU1518;RU_ESGOTO_REFOCADO;JOELHO 45 PVC SERIE REFOCADA 50MM;PC;12
RU1519;RU_ESGOTO_REFOCADO;JOELHO 45 PVC SERIE REFOCADA 75MM;PC;3
RU1520;RU_ESGOTO_REFOCADO;JOELHO 45 PVC SERIE REFOCADA 100MM;PC;188
RU1521;RU_ESGOTO_REFOCADO;JOELHO 45 PVC SERIE REFOCADA 150MM;PC;73
RU1523;RU_ESGOTO_REFOCADO;JOELHO 90 PVC SERIE REFOCADA 50MM;PC;11
RU1524;RU_ESGOTO_REFOCADO;JOELHO 90 PVC SERIE REFOCADA 75MM;PC;6
RU1525;RU_ESGOTO_REFOCADO;JOELHO 90 PVC SERIE REFOCADA 100MM;PC;115
RU1526;RU_ESGOTO_REFOCADO;JOELHO 90 PVC SERIE REFOCADA 150MM;PC;18
RU1531;RU_ESGOTO_REFOCADO;JUNCAO SIMPLES PVC SERIE REFOCADA 100X50;PC;9
RU1533;RU_ESGOTO_REFOCADO;JUNCAO SIMPLES PVC SERIE REFOCADA 100X100;PC;43
RU1534;RU_ESGOTO_REFOCADO;JUNCAO SIMPLES PVC SERIE REFOCADA 150X100;PC;58
RU1535;RU_ESGOTO_REFOCADO;JUNCAO SIMPLES PVC SERIE REFOCADA 150X150;PC;2
RU1544;RU_ESGOTO_REFOCADO;TE PVC SERIE REFOCADA 75MM;PC;2
